Symbol,Description,FinancialInstrument,Sector,AvgWeight,Return,Contribution,Unrealized_P&L,Realized_P&L,Open
BANORT 5 3/4 10/04/31 8AC3,BANORT 5 3/4 10/04/31,Bonds,Financials,7.934527124,-3.110478283,-0.317129873,0.00,0.00,No
BCOLO 6.909 10/18/27,BCOLO 6.909 10/18/27,Bonds,Financials,7.639971939,6.984350036,0.414173361,0.00,0.00,No
CCL 6.65 01/15/28,CCL 6.65 01/15/28,Bonds,Consumer Cyclicals,11.215338404,0.646963271,0.085210268,0.00,-488.31,No
CONTRA REGS HUNT OIL C D06/01/18 06.375% JD28 - CO,CONTRA REGS HUNT OIL C D06/01/18 06.375% JD28 - CONSENT SOLI,Bonds,Unclassified,0.178845645,29900.000004239,-0.003562989,0.00,0.00,No
GNBSUD 7.051 04/03/27,GNBSUD 7.051 04/03/27,Bonds,Financials,7.513778044,-2.718680036,-0.363407034,0.00,0.00,No
HNTOIL 6 3/8 06/01/28,HNTOIL 6 3/8 06/01/28,Bonds,Energy,7.299101365,5.681429982,0.419197949,0.00,0.00,No
INRSHM 5 3/4 04/03/28 3AD3,INRSHM 5 3/4 04/03/28,Bonds,Real Estate,8.27320219,0.065219167,0.054839761,0.00,-320.25,No
ORSAPE 5 5/8 04/28/27,ORSAPE 5 5/8 04/28/27,Bonds,Utilities,7.423036501,-2.516059635,-0.288097143,0.00,0.00,No
PEMEX 6 1/2 03/13/27 QCG5,PEMEX 6 1/2 03/13/27,Bonds,Energy,10.944275461,0.308616142,0.035171931,0.00,-30.15,No
RCL 5 1/2 04/01/28 TAE3,RCL 5 1/2 04/01/28,Bonds,Consumer Cyclicals,12.943436003,-2.533331125,-0.275588127,0.00,"-2,412.75",No
TERMOC 7 7/8 01/30/29 FAB6,TERMOC 7 7/8 01/30/29,Bonds,Utilities,6.798326512,-0.296763844,0.012626706,0.00,0.00,No
Total Bonds,,,,51.147292763,0.257910076,-0.256515032,0.00,"-3,251.46"
BTC.USD-PAXOS,Bitcoin cryptocurrency,Crypto,Cash,11.475217918,52.54827998,5.368356133,0.00,"13,008.90",No
Total Crypto,,,,11.475217918,52.54827998,5.368356133,0.00,"13,008.90"
2828,HANGSENG CHINA ENT INDEX,ETFs,Broad,9.244761623,-16.003953619,-1.574686105,0.00,"-5,911.09",No
3033,CSOP HANG SENG TECH INDE,ETFs,Technology,0.857266685,-23.54859638,-0.234273188,0.00,-924.24,No
BGRN,ISHARES USD GREEN BOND ETF,ETFs,Broad,1.326238675,-1.475354495,-0.020349791,0.00,-134.05,No
BLOK,AMPLIFY BLOCKCHAIN TECH ETF,ETFs,Technology,0.126028527,7.373134307,0.009194865,0.00,36.44,No
BNKU,MICROSECTORS US BIG BANKS 3X,ETFs,Financials,0.992006773,17.025261443,0.161714474,0.00,400.45,No
CEFD,ETRACS 150% CL END FUND ETN,ETFs,Financials,4.903072676,11.388767788,0.417820748,0.00,-347.62,No
ECH,ISHARES MSCI CHILE ETF,ETFs,Broad,0.866009512,2.985489421,0.073040387,0.00,288.59,No
EMB,ISHARES J.P. MORGAN USD EMERGI,ETFs,Broad,7.865875325,8.658908279,0.710692621,0.00,"2,114.24",No
EMLC,VANECK JPM EM LOCAL CURR BND,ETFs,Broad,8.064729684,10.761467158,0.851468544,0.00,"3,050.13",No
FNGA,MICROSECTORS FANG+ INDEX 3X,ETFs,Financials,0.837403469,15.59055236,0.121517885,0.00,299.46,No
FXI,ISHARES CHINA LARGE-CAP ETF,ETFs,Broad,1.019950424,-2.357439785,-0.025565708,0.00,-100.32,No
GLD,SPDR GOLD SHARES,ETFs,Basic Materials,0.42312501,2.039269556,0.011240886,0.00,44.48,No
