Financial Instrument,Currency,Symbol,Description,Sector,Quantity Bought,Average Price Bought,Proceeds Bought,Proceeds Bought in Base,Quantity Sold,Average Price Sold,Proceeds Sold,Proceeds Sold in Base
Bonds,United States Dollar,CCL 6.65 01/15/28,CCL 6.65 01/15/28,Consumer Cyclicals,50000,1.0728,-53640,-53640,-50000,1.0650338,53251.69,53251.69
Bonds,United States Dollar,INRSHM 5 3/4 04/03/28 3AD3,INRSHM 5 3/4 04/03/28,Real Estate,0,0,0,0,-30000,1.01,30300,30300
Bonds,United States Dollar,PEMEX 6 1/2 03/13/27 QCG5,PEMEX 6 1/2 03/13/27,Energy,40000,1.05498,-42199.2,-42199.2,-40000,1.05512,42204.8,42204.8
Bonds,United States Dollar,RCL 5 1/2 04/01/28 TAE3,RCL 5 1/2 04/01/28,Consumer Cyclicals,100000,1.0425,-104250,-104250,-100000,1.02,102000,102000
Crypto,United States Dollar,BTC.USD-PAXOS,Bitcoin cryptocurrency,Cash,0.67,36882.996662728,-24711.607764027,-24711.607764027,-0.67,56467.294022004,37833.086994743,37833.086994743
ETFs,Hong Kong Dollar,2828,HANGSENG CHINA ENT INDEX,Broad,4200,83.918095238,-352456,-45204.88464,-4200,73,306600,39057.774
ETFs,Hong Kong Dollar,3033,CSOP HANG SENG TECH INDE,Technology,5400,5.835,-31509,-4042.6047,-5400,4.5,24300,3095.577
ETFs,United States Dollar,BGRN,ISHARES USD GREEN BOND ETF,Broad,100,48.25,-4825,-4825,-100,46.93,4693,4693
ETFs,United States Dollar,BLOK,AMPLIFY BLOCKCHAIN TECH ETF,Technology,11,44.84,-493.24,-493.24,-11,48.335,531.685,531.685
ETFs,United States Dollar,BNKU,MICROSECTORS US BIG BANKS 3X,Financials,350,13.938971429,-4878.64,-4878.64,-350,15.167142857,5308.5,5308.5
ETFs,United States Dollar,CEFD,ETRACS 150% CL END FUND ETN,Financials,1300,19.292307692,-25080,-25080,-1300,19.136923077,24878,24878
ETFs,United States Dollar,ECH,ISHARES MSCI CHILE ETF,Broad,418,26.354784689,-11016.3,-11016.3,-418,27.065789474,11313.5,11313.5
ETFs,United States Dollar,EMB,ISHARES J.P. MORGAN USD EMERGI,Broad,1080,85.55025,-92394.27,-92394.27,-1080,87.520666667,94522.32,94522.32
ETFs,United States Dollar,EMLC,VANECK JPM EM LOCAL CURR BND,Broad,2600,24.033919231,-62488.19,-62488.19,-2600,25.041907692,65108.96,65108.96
ETFs,United States Dollar,FNGA,MICROSECTORS FANG+ INDEX 3X,Financials,20,95.99,-1919.8,-1919.8,-20,111.0642,2221.284,2221.284
ETFs,United States Dollar,FXI,ISHARES CHINA LARGE-CAP ETF,Broad,187,44.264117647,-8277.39,-8277.39,-187,43.754741176,8182.1366,8182.1366
ETFs,United States Dollar,GLD,SPDR GOLD SHARES,Basic Materials,12,166.904,-2002.848,-2002.848,-12,170.862,2050.344,2050.344
ETFs,United States Dollar,IBIT,ISHARES BITCOIN TRUST ETF,Broad,3842.1035,38.650202675,-148498.07897404,-148498.07897404,-463.2202,32.29,14957.380258,14957.380258
