Date,Description,Amount
20210903,D******68:global Snapshot Pnp For Aug 2021 ,-0.06
20210903,D******68:global Snapshot Pnp For Aug 2021 ,0.06
20220228,D******68:abcopranp For Feb 2022 ,-4.5
20220228,D******68:cboe One Add-on For Feb 2022 ,-1
20220228,D******68:snapshotvaluenonpro For Feb 2022 ,-10
20220303,D******68:abcopranp For Mar 2022 ,-4.5
20220303,D******68:cboe One Add-on For Feb 2022 ,1
20220303,D******68:cboe One Add-on For Mar 2022 ,-1
20220303,D******68:snapshotvaluenonpro For Feb 2022 ,10
20220303,D******68:snapshotvaluenonpro For Mar 2022 ,-10
20220315,Cancel[d******68:cboe One Add-on] For Mar 2022 ,1
20220404,D******68:abcopranp For Apr 2022 ,-4.5
20220404,D******68:snapshotvaluenonpro For Apr 2022 ,-10
20220404,D******68:snapshotvaluenonpro For Mar 2022 ,10
20220503,D******68:abcopranp For May 2022 ,-4.5
20220503,D******68:snapshotvaluenonpro For Apr 2022 ,10
20220503,D******68:snapshotvaluenonpro For May 2022 ,-10
20220603,D******68:abcopranp For Jun 2022 ,-4.5
20220603,D******68:snapshotvaluenonpro For Jun 2022 ,-10
20220705,D******68:abcopranp For Jul 2022 ,-4.5
20220705,D******68:snapshotvaluenonpro For Jul 2022 ,-10
20220803,D******68:abcopranp For Aug 2022 ,-4.5
20220803,D******68:snapshotvaluenonpro For Aug 2022 ,-10
20220803,D******68:snapshotvaluenonpro For Jul 2022 ,10
20220905,D******68:abcopranp For Sep 2022 ,-4.5
20220905,D******68:snapshotvaluenonpro For Aug 2022 ,10
20220905,D******68:snapshotvaluenonpro For Sep 2022 ,-10
20221004,D******68:abcopranp For Oct 2022 ,-4.5
20221004,D******68:quote Booster Packs P For Sep 2022 ,-19
20221004,D******68:snapshotvaluenonpro For Oct 2022 ,-10
20221004,D******68:snapshotvaluenonpro For Sep 2022 ,10
20221103,D******68:abcopranp For Nov 2022 ,-4.5
20221103,D******68:quote Booster Packs P For Oct 2022 ,-30
20221103,D******68:snapshotvaluenonpro For Nov 2022 ,-10
20221202,D******68:abcopranp For Dec 2022 ,-4.5
20221202,D******68:global Snapshot Pnp For Nov 2022 ,-0.24
20221202,D******68:global Snapshot Pnp For Nov 2022 ,0.24
20221202,D******68:quote Booster Packs P For Nov 2022 ,-30
20221202,D******68:snapshotvaluenonpro For Dec 2022 ,-10
20221202,D******68:snapshotvaluenonpro For Nov 2022 ,10
20230104,D******68:abcopranp For Jan 2023 ,-4.5
20230104,D******68:quote Booster Packs P For Dec 2022 ,-30
20230104,D******68:snapshotvaluenonpro For Dec 2022 ,10
20230104,D******68:snapshotvaluenonpro For Jan 2023 ,-10
20230202,D******68:abcopranp For Feb 2023 ,-4.5
20230202,D******68:quote Booster Packs P For Jan 2023 ,-30
20230202,D******68:snapshotvaluenonpro For Feb 2023 ,-10
20230202,D******68:snapshotvaluenonpro For Jan 2023 ,10
20230207,D******68:cusip ,-1
20230302,D******68:abcopranp For Mar 2023 ,-4.5
20230302,D******68:cusip ,1
20230302,D******68:cusip ,-1
20230302,D******68:quote Booster Packs P For Feb 2023 ,-30
20230302,D******68:snapshotvaluenonpro For Feb 2023 ,10
20230302,D******68:snapshotvaluenonpro For Mar 2023 ,-10
20230404,D******68:abcopranp For Apr 2023 ,-4.5
20230404,D******68:cusip ,1
20230404,D******68:cusip ,-1
20230404,D******68:quote Booster Packs P For Mar 2023 ,-30
20230404,D******68:snapshotvaluenonpro For Apr 2023 ,-10
20230404,D******68:snapshotvaluenonpro For Mar 2023 ,10
20230502,D******68:abcopranp For May 2023 ,-4.5
20230502,D******68:cusip ,1
20230502,D******68:cusip ,-1
20230502,D******68:quote Booster Packs P For Apr 2023 ,-30
20230502,D******68:snapshotvaluenonpro For May 2023 ,-10
20230602,D******68:abcopranp For Jun 2023 ,-4.5
20230602,D******68:cusip ,1
20230602,D******68:cusip ,-1
20230602,D******68:quote Booster Packs P For May 2023 ,-30
20230602,D******68:snapshotvaluenonpro For Jun 2023 ,-10
20230602,D******68:snapshotvaluenonpro For May 2023 ,10
20230703,D******68:abcopranp For Jul 2023 ,-4.5
20230703,D******68:cusip ,1
20230703,D******68:cusip ,-1
20230703,D******68:quote Booster Packs P For Jun 2023 ,-30
20230703,D******68:snapshotvaluenonpro For Jul 2023 ,-10
20230703,D******68:snapshotvaluenonpro For Jun 2023 ,10
20230802,D******68:abcopranp For Aug 2023 ,-4.5
20230802,D******68:cusip ,1
20230802,D******68:cusip ,-1
20230802,D******68:quote Booster Packs P For Jul 2023 ,-30
20230802,D******68:snapshotvaluenonpro For Aug 2023 ,-10
20230802,D******68:snapshotvaluenonpro For Jul 2023 ,10
20230906,D******68:abcopranp For Sep 2023 ,-4.5
20230906,D******68:cusip ,1
20230906,D******68:cusip ,-1
20230906,D******68:quote Booster Packs P For Aug 2023 ,-30
20230906,D******68:snapshotvaluenonpro For Aug 2023 ,10
20230906,D******68:snapshotvaluenonpro For Sep 2023 ,-10
20231004,D******68:abcopranp For Oct 2023 ,-4.5
20231004,D******68:cusip ,-1
20231004,D******68:quote Booster Packs P For Sep 2023 ,-30
20231004,D******68:snapshotvaluenonpro For Oct 2023 ,-10
20231103,D******68:abcopranp For Nov 2023 ,-4.5
20231103,D******68:cusip ,1
20231103,D******68:cusip ,-1
20231103,D******68:quote Booster Packs P For Oct 2023 ,-30
20231103,D******68:snapshotvaluenonpro For Nov 2023 ,-10
20231205,D******68:abcopranp For Dec 2023 ,-4.5
20231205,D******68:cusip ,1
20231205,D******68:cusip ,-1
20231205,D******68:quote Booster Packs P For Nov 2023 ,-30
20231205,D******68:snapshotvaluenonpro For Dec 2023 ,-10
20231205,D******68:snapshotvaluenonpro For Nov 2023 ,10
20240103,C*********91:abcopranp For Jan 2024 ,-4.5
20240103,C*********91:cusip ,1
20240103,C*********91:cusip ,-1
20240103,C*********91:quote Booster Packs P For Dec 2023 ,-30
20240103,C*********91:snapshotvaluenonpro For Dec 2023 ,10
20240103,C*********91:snapshotvaluenonpro For Jan 2024 ,-10
20240202,C*********91:cusip ,1
20240202,C*********91:quote Booster Packs P For Jan 2024 ,-30
