Date,Description,Amount
20210601,Bond Coupon Payment HNTOIL 6 3/8 06/01/28,956.25
20210610,Accrued Interest Received INRSHM 5 3/4 04/03/28,340.21
20210630,Accrued Interest Paid RCL 5 1/2 04/01/28,-284.17
20210701,Accrued Interest Paid RCL 5 1/2 04/01/28,-444.58
20210719,Accrued Interest Paid CCL 6.65 01/15/28,-5.54
20210719,Accrued Interest Paid CCL 6.65 01/15/28,-11.08
20210722,Accrued Interest Paid CCL 6.65 01/15/28,-40.64
20210722,Accrued Interest Received RCL 5 1/2 04/01/28,893.75
20210722,Accrued Interest Paid CCL 6.65 01/15/28,-30.48
20210727,Accrued Interest Paid RCL 5 1/2 04/01/28,-916.67
20210730,Bond Coupon Payment TERMOC 7 7/8 01/30/29 FAB6,1092.66
20210805,Accrued Interest Paid PEMEX 6 1/2 03/13/27,-1054.44
20210831,Accrued Interest Received PEMEX 6 1/2 03/13/27,1220.56
20210902,Accrued Interest Received CCL 6.65 01/15/28,96.06
20210903,Accrued Interest Received CCL 6.65 01/15/28,29.37
20211001,Bond Coupon Payment RCL 5 1/2 04/01/28 TAE3,1390.28
20211003,Bond Coupon Payment GNBSUD 6 1/2 04/03/27,975
20211004,Bond Coupon Payment BANORT 5 3/4 10/04/31 8AC3,862.5
20211018,Bond Coupon Payment BCOLO 4 7/8 10/18/27,731.25
20211028,Bond Coupon Payment ORAZEN 5 5/8 04/28/27,843.75
20211105,Accrued Interest Received CCL 6.65 01/15/28,779.16
20211201,Bond Coupon Payment HNTOIL 6 3/8 06/01/28,956.25
20211228,Accrued Interest Received RCL 5 1/2 04/01/28,54.39
20211230,Accrued Interest Received RCL 5 1/2 04/01/28,646.56
20220105,HKD Debit Interest Paid for December 2021,-15.7400672
20220131,Bond Coupon Payment TERMOC 7 7/8 01/30/29 FAB6,1092.66
20220203,HKD Debit Interest Paid for January 2022,-0.9482848
20220303,HKD Debit Interest Paid for February 2022,-0.0358232
20220403,Bond Coupon Payment GNBSUD 6 1/2 04/03/27,975
20220404,Bond Coupon Payment BANORT 5 3/4 10/04/31 8AC3,862.5
20220405,HKD Debit Interest Paid for March 2022,-0.0395684
20220418,Bond Coupon Payment BCOLO 4 7/8 10/18/27,731.25
20220428,Bond Coupon Payment ORAZEN 5 5/8 04/28/27,843.75
20220504,USD Net Stock Interest Paid for April 2022,-0.2
20220504,HKD Debit Interest Paid for April 2022,-0.038223
20220601,Bond Coupon Payment HNTOIL 6 3/8 06/01/28,916.09
20220603,HKD Debit Interest Paid for May 2022,-0.0395188
20220603,USD Credit Interest Received for May 2022,25.32
20220603,USD Net Stock Interest Paid for May 2022,-0.52
20220706,USD Credit Interest Received for June 2022,56.23
20220706,HKD Debit Interest Paid for June 2022,-0.0369576
20220730,Bond Coupon Payment TERMOC 7 7/8 01/30/29 FAB6,1004.06
20220803,USD Credit Interest Received for July 2022,47.37
20220803,USD Debit Interest Paid for July 2022,-10.15
20220803,HKD Debit Interest Paid for July 2022,-0.0025478
20220906,USD Credit Interest Received for August 2022,91.46
20221003,Bond Coupon Payment GNBSUD 6 1/2 04/03/27,975
20221003,Bond Coupon Payment GNBSUD 6 1/2 04/03/27,-975
20221003,Bond Coupon Payment GNBSUD 6 1/2 04/03/27,1057.65
20221004,Bond Coupon Payment BANORT 5 3/4 10/04/31 8AC3,862.5
20221005,USD Credit Interest Received for September 2022,11.9
20221018,Bond Coupon Payment BCOLO 4 7/8 10/18/27,731.25
20221028,Bond Coupon Payment ORSAPE 5 5/8 04/28/27,843.75
20221201,Bond Coupon Payment HNTOIL 6 3/8 06/01/28,875.93
20221205,USD Credit Interest Received for November 2022,5.71
20230105,USD Credit Interest Received for December 2022,128.91
20230130,Bond Coupon Payment TERMOC 7 7/8 01/30/29 FAB6,1004.06
20230203,USD Credit Interest Received for January 2023,176.86
20230303,USD Credit Interest Received for February 2023,417.74
20230405,USD Credit Interest Received for March 2023,243.65
20230503,USD Credit Interest Received for April 2023,60.28
20230605,USD Credit Interest Received for May 2023,6.85
20230706,USD Credit Interest Received for June 2023,4.49
20230803,USD Credit Interest Received for July 2023,38.97
20231205,USD Debit Interest Paid for November 2023,-10.94
20240403,USD Debit Interest Paid for March 2024,-186.63
20240503,USD Debit Interest Paid for April 2024,-205.12
20240605,USD Debit Interest Paid for May 2024,-206.04
20240703,USD Debit Interest Paid for June 2024,-188.48
20240805,USD Debit Interest Paid for July 2024,-213.95
20240905,USD Debit Interest Paid for August 2024,-35.93
20250505,USD Debit Interest Paid for April 2025,-18.56
20250604,USD Debit Interest Paid for May 2025,-513.4
20250703,USD Debit Interest Paid for June 2025,-679.21
20250805,USD Debit Interest Paid for July 2025,-705.93
20250904,USD Debit Interest Paid for August 2025,-709.7
20251003,USD Debit Interest Paid for September 2025,-680.26
20251105,USD Debit Interest Paid for October 2025,-687.19
20251203,USD Debit Interest Paid for November 2025,-634.15
20260106,USD Debit Interest Paid for December 2025,-438.17
