Date,Type,Description,Quantity
20211001,Spinoff,ITUB(US4655621062) SPINOFF  230878461 FOR 10000000000,36.9406
20220413,Spinoff,HNTOIL 6 3/8 06/01/28(P5300PAB9) SPINOFF  1 FOR 1,37000
20220503,Maturity,(USP53CONAA48) BOND MATURITY FOR USD 0.00000001 PER BOND,-37000
20220601,Spinoff,BHP(US0886061086) SPINOFF  1807 FOR 5000,18.07
20220708,Redemption,(P0918ZAX4) FULL CALL / EARLY REDEMPTION FOR USD 1.00 PER BOND,-39000
20230929,Spinoff,K(US4878361082) SPINOFF  1 FOR 4,22.5
20231201,Split,TMF(US25459W5408) SPLIT 1 FOR 10,-1800
20231201,Split,TMF(US25459W5408) SPLIT 1 FOR 10,180
20240125,Rights,HIX(US95766J1025) SUBSCRIBABLE RIGHTS ISSUE  1 FOR 1,2700
20240307,Delisting,(US95766J1280) DELISTED,-2700
20250926,Rights,BKT(US09247F2092) SUBSCRIBABLE RIGHTS ISSUE  1 FOR 1,1500
20251030,Delisting,(US09247F1185) DELISTED,-1500
