PayDate,Ex-Date,Symbol,Note,Quantity,DividendPerShare,Amount
20210630,20210603,BPCR,Dividend Payment,45400,0.02,794.5
20210802,20210708,T,Dividend Payment,207,0.52,107.64
20210917,20210819,BPCR,Dividend Payment,46000,0.02,805
20211101,20211007,T,Dividend Payment,348,0.52,180.96
20211108,20211022,AKO B,Dividend Payment,492,0.23,115.17
20211112,20211001,ITUB,Dividend Payment,1600,0.00,4.22
20211202,20211129,HNTOIL 6 3/8 06/01/28,Dividend Payment,37000,0.04,1554
20211213,20211101,ITUB,Dividend Payment,1600,0.00,5.02
20211217,20211118,BPCR,Dividend Payment,41000,0.02,717.5
20211228,20211208,NEM,Dividend Payment,100,0.55,55
20211230,20211209,ORANY,Dividend Payment,640,0.34,216.15
20220105,20211230,EWZ,Dividend Payment,50,0.16,8.05
20220106,20211220,ABEV,Dividend Payment,1000,0.08,83.32
20220106,20211220,ABEV,Dividend Payment,1000,0.02,23.64
20220107,20211214,MRK,Dividend Payment,20,0.69,13.8
20220110,20211230,AVAL,Dividend Payment,1000,0.02,21.97
20220113,20211201,ITUB,Dividend Payment,2100,0.00,6.53
20220208,20220128,AVAL,Dividend Payment,750,0.02,17.19
20220211,20220120,ENIAY,Dividend Payment,590,0.04,24.89
20220211,20220103,ITUB,Dividend Payment,2120,0.00,7.05
20220314,20220217,MMM,Dividend Payment,24,1.49,35.76
20220321,20211122,ITUB,Dividend Payment,2100,0.05,109.87
20220330,20220314,GILD,Dividend Payment,30,0.73,21.9
20220516,20220427,ING,Dividend Payment,200,0.43,86.28
20220525,20220513,ING,Dividend Payment,200,0.24,48.71
20220527,20220429,C,Dividend Payment,45,0.51,22.95
20220531,20220519,SAP,Dividend Payment,10,2.08,20.77
20220531,20220519,SAP,Dividend Payment,10,0.53,5.32
20220601,20220527,HNTOIL 6 3/8 06/01/28,Dividend Payment,37000,0.04,1554
20220607,20220601,AVAL,Dividend Payment,500,0.29,142.74
20220610,20220519,WBA,Dividend Payment,100,0.48,47.75
20220613,20220603,PFFD,Dividend Payment,100,0.11,10.9
20220613,20220519,MMM,Dividend Payment,10,1.49,14.9
20220616,20220601,NEM,Dividend Payment,50,0.55,27.5
20220616,20220519,UL,Dividend Payment,65,0.46,29.61
20220621,20220606,SWK,Dividend Payment,20,0.79,15.8
20220630,20220621,PCY,Dividend Payment,500,0.11,57.17
20220630,20220614,BLW,Dividend Payment,360,0.10,35.32
20220630,20220614,BBN,Dividend Payment,550,0.12,67.6
20220701,20220614,NUV,Dividend Payment,500,0.03,14
20220701,20220614,NMI,Dividend Payment,500,0.03,12.75
20220701,20220614,NAD,Dividend Payment,500,0.06,29.75
20220714,20220706,PFFD,Dividend Payment,100,0.11,10.9
20220722,20220718,PCY,Dividend Payment,500,0.12,57.66
20220728,20220623,2828,Dividend Payment,4200,0.15,615.2937
20220729,20220714,BLW,Dividend Payment,360,0.10,35.32
20220729,20220714,BBN,Dividend Payment,550,0.12,67.6
20220801,20220714,NAD,Dividend Payment,500,0.05,27
20220801,20220721,GDO,Dividend Payment,510,0.10,51.51
20220801,20220714,NUV,Dividend Payment,500,0.03,14
20220801,20220714,NMI,Dividend Payment,500,0.03,13.75
