Month,Account,AccountReturn
202501,U6252348,2.860078074
202502,U6252348,4.206992841
202503,U6252348,-2.405989037
202504,U6252348,-2.288278113
202505,U6252348,1.187912228
202506,U6252348,2.840780528
202507,U6252348,1.180413959
202508,U6252348,1.465670702
202509,U6252348,1.922909335
202510,U6252348,-0.451145434
202511,U6252348,-0.916615013
202512,U6252348,-1.729773873
202401,U6252348,-2.372853161
202402,U6252348,0.318599264
202403,U6252348,0.878974859
202404,U6252348,-4.610925924
202405,U6252348,2.943512573
202406,U6252348,-1.490721347
202407,U6252348,4.339887243
202408,U6252348,4.000872563
202409,U6252348,4.85371133
202410,U6252348,-3.126104975
202411,U6252348,0.771659081
202412,U6252348,-2.612172997
202301,U6252348,6.609864216
202302,U6252348,-2.153961555
202303,U6252348,0.449762711
202304,U6252348,0.15556275
202305,U6252348,-3.399437693
202306,U6252348,3.178961264
202307,U6252348,3.058973482
202308,U6252348,-3.749868147
202309,U6252348,-4.174562584
202310,U6252348,-5.689640027
202311,U6252348,7.543478987
202312,U6252348,5.87568726
202201,U6252348,-2.220128227
202202,U6252348,-1.89856137
202203,U6252348,0.104439699
202204,U6252348,-1.579112283
202205,U6252348,-0.804096301
202206,U6252348,-3.292644049
202207,U6252348,2.352419451
202208,U6252348,-1.491874646
202209,U6252348,-6.3175899
202210,U6252348,-0.957512799
202211,U6252348,9.398534974
202212,U6252348,-1.393033747
202101,U6252348,-
202102,U6252348,-
202103,U6252348,-
202104,U6252348,-
202105,U6252348,-
202106,U6252348,2.046976005
202107,U6252348,0.599374111
202108,U6252348,0.985295957
202109,U6252348,-0.476333984
202110,U6252348,-0.985851983
202111,U6252348,-1.981467404
202112,U6252348,1.291095311
