Quarter,Account,AccountReturn
2025 Q1,U6252348,4.608477241
2025 Q2,U6252348,1.681200726
2025 Q3,U6252348,4.637509468
2025 Q4,U6252348,-3.069811421
2024 Q1,U6252348,-1.200961755
2024 Q2,U6252348,-3.266978141
2024 Q3,U6252348,13.781368559
2024 Q4,U6252348,-4.928609433
2023 Q1,U6252348,4.782692082
2023 Q2,U6252348,-0.173491578
2023 Q3,U6252348,-4.946534356
2023 Q4,U6252348,7.384036937
2022 Q1,U6252348,-3.976356926
2022 Q2,U6252348,-5.58510256
2022 Q3,U6252348,-5.544288769
2022 Q4,U6252348,6.841663586
2021 Q1,U6252348,-
2021 Q2,U6252348,-
2021 Q3,U6252348,1.106665241
2021 Q4,U6252348,-1.694748456
