Date,FinancialInstrument,Currency,Symbol,Description,Sector,Quantity,ClosePrice,Value,Cost Basis,UnrealizedP&L,FXRateToBase
01/21/2026,ETFs,USD,FLBL,FRANKLIN SENIOR LOAN ETF,Broad,2000,23.47,46940,48316.870868,-1376.870868,1
01/21/2026,ETFs,USD,RYLD,GLOBAL X RUSSELL 2000 COV CL,Broad,930,15.63,14535.9,14181.000149,354.899851,1
01/21/2026,ETFs,USD,TLTW,ISHARES 20+ BOND BUYWRITE,Broad,1500,22.77,34155,34190.063859,-35.063859,1
Total,ETFs,USD,,,,,,95630.9,96687.934876,-1057.034876
01/21/2026,Options,USD,TLT   270115C00080000,TLT 15JAN27 80 C,Government,4,8.3475,3339,6960.9618,-3621.9618,1
01/21/2026,Options,USD,TLT   270115C00090000,TLT 15JAN27 90 C,Government,6,2.755,1653,5602.1437,-3949.1437,1
Total,Options,USD,,,,,,4992,12563.1055,-7571.1055
01/21/2026,Stocks,USD,BBN,BLACKROCK TAXABLE MUNI BND,Broad,1500,16.2,24300,24635.553859,-335.553859,1
01/21/2026,Stocks,USD,BKT,BLACKROCK INCOME TRUST,Broad,1500,11.06,16590,18665.721442,-2075.721442,1
01/21/2026,Stocks,USD,ECAT,BLACKROCK ESG CAP ALL TRM TR,Broad,715,15.41,11018.15,11999.896229,-981.746229,1
01/21/2026,Stocks,USD,GBAB,GUGGENHEIM TAXABLE MUNICIPAL,Broad,1200,15.01,18012,18986.356185,-974.356185,1
01/21/2026,Stocks,USD,NBB,NUVEEN TAXABLE MUNICIPAL INC,Broad,1000,15.63,15630,15718.229573,-88.229573,1
01/21/2026,Stocks,USD,PEP,PEPSICO INC,Consumer Non-Cyc,15,146.74,2201.1,2090.903257,110.196743,1
01/21/2026,Stocks,USD,QIWI,QIWI PLC-SPONSORED ADR,Industrials,430,5.67,2438.1,3092.99,-654.89,1
01/21/2026,Stocks,USD,RACE,FERRARI NV,Consumer Cyclicals,12,341.68,4100.16,4349.262914,-249.102914,1
01/21/2026,Stocks,USD,SNY,SANOFI-ADR,Healthcare,60,46.18,2770.8,2877.692257,-106.892257,1
01/21/2026,Stocks,USD,WDI,WESTERN ASSET DIVERS INC,Broad,755,13.65,10305.75,11512.612672,-1206.862672,1
Total,Stocks,USD,,,,,,107366.06,113929.218388,-6563.158388
01/21/2026,Cash,USD,USD,United States Dollar,Cash,26030.948359,1,26030.948359, , ,1
